股票代码,股票名称,信号日期,收盘价,MACD评分,成交量比率,MA60距离%,评级,补充特征分,MACD满足,成交量满足,MA60满足,未来5日涨幅%,未来涨幅满足
sh.603291,联合水务,2025-05-12,12.71,80,2.35,-2.98,C级,10,True,True,True,9.99,True
sh.603291,联合水务,2025-05-15,12.26,65,3.28,-3.61,B级,25,True,True,True,5.79,True
sz.301588,美新科技,2025-11-13,20.17,65,2.09,-0.47,B级,20,True,True,True,3.22,True
sz.300444,双杰电气,2025-06-09,6.8,80,2.17,-2.62,A级,45,True,True,True,2.21,True
sz.301520,万邦医药,2025-05-19,38.8,65,3.21,-0.99,B级,20,True,True,True,6.83,True
sz.002617,露笑科技,2025-05-09,7.54,65,2.21,-0.96,C级,10,True,True,True,5.17,True
sh.688696,极米科技,2025-11-04,114.2,60,2.28,-1.42,B级,20,True,True,True,3.74,True
sh.600734,实达集团,2025-10-29,3.5,80,2.41,-6.21,C级,10,True,True,True,16.86,True
sh.600734,实达集团,2025-10-30,3.54,80,2.5,-4.68,A级,30,True,True,True,15.54,True
sh.603499,翔港科技,2025-08-12,16.72,65,2.38,-1.2,B级,20,True,True,True,13.58,True
sh.603499,翔港科技,2025-08-13,17.26,65,3.11,0.01,A级,35,True,True,True,10.54,True
sh.688605,先锋精科,2025-06-19,59.14,80,2.07,-3.16,A级,45,True,True,True,2.22,True
sh.688605,先锋精科,2025-12-15,59.13,65,2.67,-6.12,B级,20,True,True,True,2.3,True
sh.688605,先锋精科,2025-12-16,59.33,65,2.4,-7.58,B级,20,True,True,True,5.28,True
sh.688605,先锋精科,2025-12-24,61.32,60,2.02,-2.99,A级,45,True,True,True,20.4,True
sh.688349,三一重能,2025-06-16,24.32,65,2.27,-0.85,A级,60,True,True,True,4.85,True
sh.688349,三一重能,2025-06-17,23.93,65,2.58,-0.08,A级,30,True,True,True,6.56,True
sz.000912,泸天化,2025-06-20,4.64,65,2.69,0.24,B级,20,True,True,True,4.09,True
sz.300369,绿盟科技,2025-10-21,7.71,60,2.48,-1.61,A级,30,True,True,True,7.13,True
sh.688328,深科达,2025-12-22,26.56,60,2.18,-0.51,A级,45,True,True,True,7.23,True
sz.301552,科力装备,2025-04-24,49.92,80,2.11,-2.12,A级,35,True,True,True,4.03,True
sz.301552,科力装备,2025-04-25,50.63,80,2.05,-4.01,B级,25,True,True,True,4.54,True
sz.301552,科力装备,2025-07-18,39.18,80,2.41,-7.92,A级,45,True,True,True,2.6,True
sz.301552,科力装备,2025-07-21,39.28,65,2.74,-8.72,A级,45,True,True,True,4.84,True
sh.600975,新五丰,2025-06-04,6.12,80,2.02,-0.63,A级,45,True,True,True,3.1,True
sh.600048,保利发展,2026-01-22,6.58,60,2.53,-0.38,A级,45,True,True,True,9.42,True
sh.688239,航宇科技,2025-06-26,33.8,80,2.73,-8.85,A级,35,True,True,True,4.67,True
sh.688239,航宇科技,2025-06-27,34.26,80,2.82,-8.24,A级,35,True,True,True,3.27,True
sh.688229,博睿数据,2025-04-17,45.15,80,2.02,-10.47,C级,10,True,True,True,12.93,True
sh.600316,洪都航空,2025-12-26,32.25,80,2.06,-0.82,A级,30,True,True,True,14.73,True
sz.002987,京北方,2025-06-03,14.3,60,4.72,-15.59,B级,25,True,True,True,13.99,True
sz.002987,京北方,2025-06-04,14.86,80,4.73,-15.96,B级,25,True,True,True,9.69,True
sz.300107,建新股份,2025-11-05,7.36,65,4.28,-1.14,B级,20,True,True,True,2.99,True
sz.300107,建新股份,2025-11-06,7.37,65,2.22,-0.72,C级,10,True,True,True,2.85,True
sz.300107,建新股份,2025-12-30,6.82,65,2.92,-1.91,B级,20,True,True,True,2.05,True
sz.002774,快意电梯,2025-10-21,9.88,60,2.74,-5.01,A级,35,True,True,True,9.72,True
sz.000921,海信家电,2025-07-07,26.16,60,3.05,-3.56,B级,20,True,True,True,3.13,True
sz.000921,海信家电,2025-07-08,26.22,60,2.43,-3.36,C级,10,True,True,True,2.9,True
sz.000551,创元科技,2025-07-29,11.16,80,2.02,-4.96,B级,20,True,True,True,8.42,True
sz.000551,创元科技,2025-08-07,11.68,80,2.28,-0.62,C级,10,True,True,True,5.05,True
sh.688662,富信科技,2025-12-01,41.41,80,2.54,-3.55,A级,35,True,True,True,9.15,True
sh.688662,富信科技,2025-12-02,40.62,65,2.49,-5.65,A级,35,True,True,True,11.99,True
sh.600650,锦江在线,2025-05-08,13.9,60,3.43,-2.19,B级,20,True,True,True,4.24,True
sh.600650,锦江在线,2025-05-09,13.67,65,3.22,-2.64,A级,35,True,True,True,6.0,True
sh.600650,锦江在线,2025-12-10,15.08,65,3.61,-1.0,C级,10,True,True,True,12.6,True
sh.600650,锦江在线,2025-12-11,15.1,65,2.16,-1.74,C级,10,True,True,True,12.45,True
sh.600230,沧州大化,2025-05-06,10.28,65,2.25,-1.37,B级,20,True,True,True,2.04,True
sz.300386,飞天诚信,2025-04-16,15.5,80,2.15,0.35,B级,25,True,True,True,14.19,True
sh.600884,杉杉股份,2025-04-28,6.94,80,2.15,-1.23,B级,25,True,True,True,7.49,True
sz.300896,爱美客,2025-11-12,157.68,60,2.86,-9.28,B级,25,True,True,True,3.15,True
sh.688179,阿拉丁,2025-07-02,12.52,80,2.17,-10.91,A级,35,True,True,True,4.79,True
sh.600776,东方通信,2025-04-22,10.98,80,4.17,0.11,B级,20,True,True,True,2.0,True
sz.300904,威力传动,2026-01-12,65.2,65,2.47,-6.32,A级,45,True,True,True,5.49,True
sz.300904,威力传动,2026-01-13,64.51,65,2.22,-3.33,B级,20,True,True,True,22.21,True
sz.300904,威力传动,2026-01-14,63.76,65,2.23,-6.34,B级,20,True,True,True,23.65,True
sz.300904,威力传动,2026-01-15,65.41,65,2.31,-4.12,A级,30,True,True,True,20.53,True
sz.300904,威力传动,2026-01-16,65.76,80,2.03,-4.03,A级,30,True,True,True,19.89,True
sz.300904,威力传动,2026-01-19,67.82,80,2.02,-0.3,A级,60,True,True,True,16.25,True
sz.003042,中农联合,2025-04-10,15.1,60,3.04,-0.85,A级,35,True,True,True,5.1,True
sz.003042,中农联合,2025-04-11,14.72,80,2.7,-1.2,A级,35,True,True,True,7.81,True
sz.003042,中农联合,2025-10-20,16.46,65,3.28,-2.64,B级,20,True,True,True,7.17,True
sz.003042,中农联合,2025-10-21,16.71,65,3.68,-1.47,B级,20,True,True,True,5.57,True
sz.003042,中农联合,2025-10-22,16.75,80,2.18,-0.14,A级,30,True,True,True,5.31,True
sz.300576,容大感光,2025-06-23,35.15,80,2.4,-10.07,A级,35,True,True,True,6.66,True
sz.300576,容大感光,2025-06-24,35.56,80,2.82,-8.75,A级,45,True,True,True,8.24,True
sz.300576,容大感光,2025-06-25,35.73,80,2.01,-8.5,A级,45,True,True,True,7.72,True
sz.300229,拓尔思,2025-05-06,19.28,60,2.11,-14.25,A级,35,True,True,True,3.89,True
sz.301179,泽宇智能,2025-06-06,13.76,60,3.27,-14.08,C级,10,True,True,True,2.83,True
sz.301179,泽宇智能,2025-06-09,13.79,80,3.77,-15.11,B级,25,True,True,True,2.61,True
sh.600648,外高桥,2025-07-15,11.17,65,3.2,0.24,A级,30,True,True,True,2.69,True
sh.600648,外高桥,2026-01-07,10.36,65,3.86,-1.28,A级,30,True,True,True,2.7,True
sz.301367,瑞迈特,2025-10-20,86.05,80,2.01,-0.17,B级,20,True,True,True,6.38,True
sz.002886,沃特股份,2025-04-25,18.55,80,2.21,-0.47,B级,20,True,True,True,11.91,True
sz.002886,沃特股份,2025-04-28,18.87,80,2.49,0.06,C级,10,True,True,True,10.02,True
sz.300149,睿智医药,2026-01-07,10.12,80,2.45,-2.61,B级,20,True,True,True,40.61,True
sh.603209,兴通股份,2025-05-16,14.77,65,2.5,-2.49,A级,30,True,True,True,2.23,True
sh.600475,华光环能,2025-11-05,17.74,80,2.27,-2.5,A级,35,True,True,True,10.43,True
sh.600475,华光环能,2025-11-07,17.66,65,2.03,-0.78,A级,35,True,True,True,10.93,True
sz.002786,银宝山新,2025-04-30,8.74,80,2.01,-7.37,A级,35,True,True,True,8.7,True
sz.002786,银宝山新,2025-05-06,9.08,80,2.62,-5.17,A级,35,True,True,True,4.63,True
sz.002786,银宝山新,2025-05-07,9.21,80,2.93,-0.76,A级,35,True,True,True,3.15,True
sh.688169,石头科技,2025-07-14,162.89,80,2.02,-15.43,A级,40,True,True,True,3.68,True
sh.688169,石头科技,2025-07-15,163.7,80,2.29,-16.29,A级,35,True,True,True,3.16,True
sh.688169,石头科技,2025-07-16,161.22,80,2.26,-15.47,A级,35,True,True,True,4.75,True
sh.603271,永杰新材,2025-06-13,36.02,65,2.14,0.01,A级,30,True,True,True,2.61,True
sh.688721,龙图光罩,2025-06-23,42.65,80,2.15,-2.16,A级,45,True,True,True,7.15,True
sh.688721,龙图光罩,2025-06-24,43.4,80,2.24,-0.6,A级,45,True,True,True,6.45,True
sh.688721,龙图光罩,2025-06-25,43.67,80,2.13,-0.38,A级,45,True,True,True,5.79,True
sh.688721,龙图光罩,2025-12-15,46.35,80,2.34,-1.03,B级,20,True,True,True,2.27,True
sz.001289,龙源电力,2026-01-14,15.74,80,2.01,-2.07,A级,35,True,True,True,2.29,True
sh.603235,天新药业,2025-11-06,27.45,80,2.07,-0.71,A级,45,True,True,True,4.34,True
sz.300279,和晶科技,2025-04-21,6.24,80,2.17,-0.94,A级,35,True,True,True,5.77,True
sz.300279,和晶科技,2025-04-22,6.03,80,2.38,-4.75,A级,35,True,True,True,9.45,True
sz.300279,和晶科技,2025-04-23,6.29,80,2.7,-2.91,A级,35,True,True,True,4.93,True
sh.688615,合合信息,2025-04-17,238.76,80,2.44,-0.09,A级,35,True,True,True,6.38,True
sh.688615,合合信息,2025-07-17,164.52,65,2.07,-10.23,A级,35,True,True,True,8.69,True
sh.688615,合合信息,2025-07-18,171.5,65,2.23,-3.11,A级,50,True,True,True,8.8,True
